scenario,null_status,n,method,calibration,n_replicates,n_rejections,rejection_rate,ci_low,ci_high
confounded_proxy,not guaranteed,200,stratified_regression_ftest,asymptotic,1000,386,0.386,0.356317362994859,0.4165551379398476
confounded_proxy,not guaranteed,500,conditional_g2,stratified_permutation,1000,425,0.425,0.39470520710516793,0.4558688066676653
confounded_proxy,not guaranteed,500,stratified_mean_disparity,stratified_permutation,1000,837,0.837,0.8128247624397997,0.858596002340936
confounded_proxy,not guaranteed,500,stratified_regression_lrt,stratified_permutation,1000,842,0.842,0.8180901541085861,0.8632923430872941
confounded_proxy,not guaranteed,500,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
confounded_proxy,not guaranteed,500,stratified_regression_ftest,asymptotic,1000,844,0.844,0.8201985055513945,0.8651686846105435
confounded_proxy,not guaranteed,2000,conditional_g2,stratified_permutation,1000,991,0.991,0.982984183834662,0.9952579393325229
confounded_proxy,not guaranteed,2000,stratified_mean_disparity,stratified_permutation,1000,1000,1.0,0.996173241514445,1.0
confounded_proxy,not guaranteed,2000,stratified_regression_lrt,stratified_permutation,1000,1000,1.0,0.996173241514445,1.0
confounded_proxy,not guaranteed,2000,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
confounded_proxy,not guaranteed,2000,stratified_regression_ftest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
